event_id,event_name,year,location,gender,pdf_file,has_time_data
53,World Senior Curling Championships 2024,2024,"Östersund, Sweden",w,WSCC2024_ResultsBook_Women.pdf,False
54,World Men's Curling Championship 2024,2024,"Schaffhausen, Switzerland",m,WMCC2024_ResultsBook.pdf,True
55,World Women's Curling Championship 2024,2024,"Sydney, NS, Canada",w,WWCC2024_ResultsBook.pdf,True
56,World Wheelchair Mixed Doubles Championship 2024,2024,"Gangneung, Korea",mxd,WWhMDCC2024_ResultsBook.pdf,False
57,World Wheelchair Championship 2024,2024,"Gangneung, Korea",,WWhCC2024_ResultsBook.pdf?V=2,False
58,World Junior Curling Championships 2024,2024,"Lohja, Finland",m,WJCC2024_ResultsBook_Men.pdf,True
59,World Junior Curling Championships 2024,2024,"Lohja, Finland",w,WJCC2024_ResultsBook_Women.pdf,True
60,Winter Youth Olympic Games 2024,2024,"Gangneung, Korea",,YOG2024_Resultsbook.pdf,False
61,World Junior-B Curling Championships 2023,2023,"Lohja, Finland",m,WJBCC2023_ResultsBook_Men.pdf,False
62,World Junior-B Curling Championships 2023,2023,"Lohja, Finland",w,WJBCC2023_ResultsBook_Women.pdf,False
63,World Mixed Doubles Qualification Event 2023,2023,"Dumfries, Scotland",mxd,WMDQE2023_ResultsBook.pdf,False
64,European Curling Championships 2023 A-Division,2023,"Aberdeen, Scotland",m,ECC2023_ResultsBook_Men_A-Division.pdf,True
65,European Curling Championships 2023 A-Division,2023,"Aberdeen, Scotland",w,ECC2023_ResultsBook_Women_A-Division.pdf,True
66,European Curling Championships 2023 B-Division,2023,"Perth, Scotland",m,ECC2023_ResultsBook_Men_B-Division.pdf,False
67,European Curling Championships 2023 B-Division,2023,"Perth, Scotland",w,ECC2023_ResultsBook_Women_B-Division.pdf,False
68,World Wheelchair-B Curling Championship 2023,2023,"Lohja, Finland",,WWhBCC2023_ResultsBook.pdf,False
69,Pan Continental Curling Championships 2023 A-Division,2023,"Kelowna, BC, Canada",m,PCCC2023_ResultsBook_Men_A-Division.pdf,True
70,Pan Continental Curling Championships 2023 A-Division,2023,"Kelowna, BC, Canada",w,PCCC2023_ResultsBook_Women_A-Division.pdf,True
71,Pan Continental Curling Championships 2023 B-Division,2023,"Kelowna, BC, Canada",m,PCCC2023_ResultsBook_Men_B-Division.pdf,False
72,Pan Continental Curling Championships 2023 B-Division,2023,"Kelowna, BC, Canada",w,PCCC2023_ResultsBook_Women_B-Division.pdf,False
73,World Mixed Curling Championship 2023,2023,"Aberdeen, Scotland",mx,WMxCC2023_ResultsBook.pdf,False
74,European Curling Championships C-Division 2023,2023,"Dumfries, Scotland",m,ECCC2023_ResultsBook_Men.pdf,False
75,European Curling Championships C-Division 2023,2023,"Dumfries, Scotland",w,ECCC2023_ResultsBook_Women.pdf,False
76,World Mixed Doubles Curling Championship 2023,2023,"Gangneung, Korea",mxd,WMDCC2023_ResultsBook.pdf,True
77,World Senior Curling Championships 2023,2023,"Gangneung, Korea",m,WSCC2023_ResultsBook_Men.pdf,False
78,World Senior Curling Championships 2023,2023,"Gangneung, Korea",w,WSCC2023_ResultsBook_Women.pdf,False
79,World Men's Curling Championship 2023,2023,"Ottawa, ON, Canada",m,WMCC2023_ResultsBook.pdf,True
80,World Women's Curling Championships 2023,2023,"Sandviken, Sweden",w,WWCC2023_ResultsBook.pdf,True
81,World Wheelchair Curling Championships 2023,2023,"Richmond, BC, Canada",,WWhCC2023_ResultsBook.pdf,False
82,World Wheelchair Mixed Doubles Curling Championships 2023,2023,"Richmond, BC, Canada",mxd,WWhMDCC2023_ResultsBook.pdf,False
83,World Junior Curling Championships 2023,2023,"Füssen, Germany",m,WJCC2023_ResultsBook_Men.pdf,True
84,World Junior Curling Championships 2023,2023,"Füssen, Germany",w,WJCC2023_ResultsBook_Women.pdf,True
85,World Junior-B Curling Championships 2022-2023,2022,"Lohja, Finland",m,WJBCC2022-23_ResultsBook_Men.pdf,False
86,World Junior-B Curling Championships 2022-2023,2022,"Lohja, Finland",w,WJBCC2022-23_ResultsBook_Women.pdf,False
87,World Mixed Doubles Qualification Event 2022,2022,"Dumfries, Scotland",mxd,WMDQE2022_ResultsBook.pdf,False
88,European Curling Championships 2022 A-Division,2022,"Östersund, Sweden",m,ECC2022_ResultsBook_Men_A-Division.pdf,True
89,European Curling Championships 2022 A-Division,2022,"Östersund, Sweden",w,ECC2022_ResultsBook_Women_A-Division.pdf,True
90,European Curling Championships 2022 B-Division,2022,"Östersund, Sweden",m,ECC2022_ResultsBook_Men_B-Division.pdf,False
91,European Curling Championships 2022 B-Division,2022,"Östersund, Sweden",w,ECC2022_ResultsBook_Women_B-Division.pdf,False
92,World Wheelchair-B Curling Championship 2022,2022,"Lohja, Finland",,WWhBCC2022_ResultsBook.pdf,False
93,Pan Continental Curling Championships 2022 A-Division,2022,"Calgary, AB, Canada",m,PCCC2022_ResultsBook_Men_A-Division.pdf,True
94,Pan Continental Curling Championships 2022 A-Division,2022,"Calgary, AB, Canada",w,PCCC2022_ResultsBook_Women_A-Division.pdf,True
95,Pan Continental Curling Championships 2022 B-Division,2022,"Calgary, AB, Canada",m,PCCC2022_ResultsBook_Men_B-Division.pdf,False
96,Pan Continental Curling Championships 2022 B-Division,2022,"Calgary, AB, Canada",w,PCCC2022_ResultsBook_Women_B-Division.pdf,False
97,World Mixed Curling Championship 2022,2022,"Aberdeen, Scotland",mx,WMxCC2022_ResultsBook.pdf,False
98,World Junior Curling Championships 2022,2022,"Jönköping, Sweden",m,WJCC2022_ResultsBook_Men.pdf,True
99,World Junior Curling Championships 2022,2022,"Jönköping, Sweden",w,WJCC2022_ResultsBook_Women.pdf,True
100,European Curling Championships C-Division 2022,2022,"Kaunas, Lithuania",m,ECCC2022_ResultsBook_Men.pdf,False
101,European Curling Championships C-Division 2022,2022,"Kaunas, Lithuania",w,ECCC2022_ResultsBook_Women.pdf,False
102,World Wheelchair Mixed Doubles Curling Championship 2022,2022,"Lohja, Finland",mxd,WWhMDCC2022_ResultsBook.pdf,False
103,World Mixed Doubles Curling Championship 2022,2022,"Geneva, Switzerland",mxd,WMDCC2022_ResultsBook.pdf,True
104,World Senior Curling Championships 2022,2022,"Geneva, Switzerland",m,WSCC2022_ResultsBook_Men.pdf,False
105,World Senior Curling Championships 2022,2022,"Geneva, Switzerland",w,WSCC2022_ResultsBook_Women.pdf,False
106,World Men's Curling Championship 2022,2022,"Las Vegas, NV, USA",m,WMCC2022_ResultsBook.pdf,True
