match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle
1,2,1,SWE,1,SUNDGREN C,Draw,Counter-clockwise,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,3.269,3.274,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,SUI,2,LACHAT-COUCHEPIN P,Front,Clockwise,100,1,1,-0.787,1.14,1.385,124.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,3.269,3.275,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,SWE,1,SUNDGREN C,Draw,Counter-clockwise,100,1,2,-0.787,1.14,1.385,124.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,2.219,2.22,89.1,-0.18,3.269,3.274,93.2,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,SUI,2,LACHAT-COUCHEPIN P,Front,Counter-clockwise,100,2,2,-0.787,1.14,1.385,124.6,0.685,1.247,1.423,61.2,,,,,,,,,,,,,,,,,,,,,,,,,0.033,2.219,2.22,89.1,-0.19,3.269,3.275,93.3,,,,,,,,,,,,,,,,,,,,,,,,
1,2,5,SWE,3,WRANAA R,Guard,Counter-clockwise,100,2,3,-0.787,1.14,1.385,124.6,0.686,1.247,1.423,61.2,,,,,,,,,,,,,,,,,,,,,,,,,-0.045,0.807,0.808,93.2,0.034,2.219,2.22,89.1,-0.18,3.269,3.274,93.2,,,,,,,,,,,,,,,,,,,,
1,2,6,SUI,4,MICHEL S,Double Take-out,Clockwise,100,3,1,0.573,1.011,1.162,60.5,-0.775,1.14,1.379,124.2,0.696,1.247,1.428,60.8,,,,,,,,,,,,,,,,,,,,,0.045,2.219,2.22,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,7,SWE,3,WRANAA R,Hit and Roll,Counter-clockwise,50,4,1,0.563,1.005,1.152,60.7,0.472,1.259,1.344,69.4,-0.787,1.14,1.385,124.6,0.68,1.242,1.416,61.3,,,,,,,,,,,,,,,,,0.034,2.219,2.22,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,8,SUI,4,MICHEL S,Hit and Roll,Counter-clockwise,75,3,0,0.461,1.259,1.34,69.9,-0.787,1.14,1.385,124.6,0.19,2.034,2.043,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,9,SWE,5,ERIKSSON O,Take-out,Counter-clockwise,75,3,1,0.472,1.259,1.344,69.4,-0.787,1.14,1.385,124.6,0.186,2.028,2.037,84.8,,,,,,,,,,,,,,,,,,,,,0.034,1.888,1.888,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,10,SUI,6,SCHWALLER Y,Hit and Roll,Counter-clockwise,75,3,0,0.461,1.259,1.34,69.9,-0.787,1.14,1.385,124.6,-1.172,2.576,2.83,114.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,11,SWE,5,ERIKSSON O,Take-out,Counter-clockwise,100,3,1,0.472,1.259,1.344,69.4,-0.787,1.14,1.385,124.6,-1.165,2.569,2.821,114.4,,,,,,,,,,,,,,,,,,,,,-0.483,3.011,3.05,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,12,SUI,6,SCHWALLER Y,Hit and Roll,Counter-clockwise,75,3,0,0.472,1.259,1.344,69.4,-0.775,1.14,1.379,124.2,-0.673,2.809,2.889,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,13,SWE,7,EDIN N,Take-out,Clockwise,100,3,1,0.472,1.259,1.344,69.4,-0.787,1.14,1.385,124.6,-0.681,2.803,2.885,103.7,,,,,,,,,,,,,,,,,,,,,-0.674,2.59,2.676,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,14,SUI,8,SCHWARZ-VAN BERKEL,Hit and Roll,Clockwise,75,3,0,0.461,1.259,1.34,69.9,-0.787,1.14,1.385,124.6,0.258,3.023,3.034,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,15,SWE,7,EDIN N,Hit and Roll,Counter-clockwise,75,3,1,0.472,1.259,1.344,69.4,-0.787,1.14,1.385,124.6,0.263,3.017,3.028,85.0,,,,,,,,,,,,,,,,,,,,,-1.281,3.753,3.965,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,16,SUI,8,SCHWARZ-VAN BERKEL,Clearing,Counter-clockwise,100,2,0,0.461,1.259,1.34,69.9,-0.787,1.14,1.385,124.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,SWE,1,SUNDGREN C,Front,Counter-clockwise,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,1.445,1.451,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
