event_id,match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,house_orientation,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone1_id,team1_stone1_prev_x,team1_stone1_prev_y,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone2_id,team1_stone2_prev_x,team1_stone2_prev_y,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone3_id,team1_stone3_prev_x,team1_stone3_prev_y,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone4_id,team1_stone4_prev_x,team1_stone4_prev_y,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone5_id,team1_stone5_prev_x,team1_stone5_prev_y,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone6_id,team1_stone6_prev_x,team1_stone6_prev_y,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone7_id,team1_stone7_prev_x,team1_stone7_prev_y,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team1_stone8_id,team1_stone8_prev_x,team1_stone8_prev_y,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone1_id,team2_stone1_prev_x,team2_stone1_prev_y,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone2_id,team2_stone2_prev_x,team2_stone2_prev_y,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone3_id,team2_stone3_prev_x,team2_stone3_prev_y,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone4_id,team2_stone4_prev_x,team2_stone4_prev_y,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone5_id,team2_stone5_prev_x,team2_stone5_prev_y,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone6_id,team2_stone6_prev_x,team2_stone6_prev_y,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone7_id,team2_stone7_prev_x,team2_stone7_prev_y,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle,team2_stone8_id,team2_stone8_prev_x,team2_stone8_prev_y
1,1,1,11,SUI,5,TIRINZONI S,Double Take-out,Clockwise,100,bottom,4,2,0.17,0.469,0.499,70.1,10,0.17,0.469,0.221,1.153,1.174,79.2,5,0.227,1.153,-0.188,0.634,0.661,106.5,13,,,-0.424,0.446,0.616,133.5,11,-0.415,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,1.634,1.689,75.3,9,0.43,1.634,-0.031,0.51,0.511,93.5,12,-0.022,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,12,SWE,6,McMANUS S,Take-out,Counter-clockwise,75,bottom,3,3,1.181,0.17,1.193,8.2,15,,,0.227,1.153,1.175,78.8,5,0.221,1.153,-0.223,0.493,0.541,114.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,-1.031,1.034,-94.3,17,,,0.43,1.634,1.69,75.2,9,0.429,1.634,-0.098,0.803,0.809,97.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,13,SUI,7,PAETZ A,Take-out,Clockwise,100,bottom,4,2,1.17,0.17,1.182,8.3,15,1.181,0.17,0.212,1.156,1.176,79.6,5,0.227,1.153,-0.232,0.5,0.551,114.9,14,-0.223,0.493,-0.567,0.647,0.861,131.2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089,-1.029,1.033,-95.0,17,-0.078,-1.031,0.42,1.643,1.696,75.7,9,0.43,1.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,14,SWE,8,HASSELBORG A,Double Take-out,Clockwise,100,bottom,3,3,1.172,0.161,1.183,7.8,15,1.17,0.17,0.219,1.147,1.168,79.2,5,0.212,1.156,-0.875,0.777,1.17,138.4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.088,-1.037,1.041,-94.8,17,-0.089,-1.029,0.422,1.634,1.687,75.5,9,0.42,1.643,-0.536,0.079,0.542,171.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,15,SUI,7,PAETZ A,Double Take-out,Clockwise,50,bottom,4,2,1.179,0.161,1.19,7.8,15,1.172,0.161,0.221,1.147,1.168,79.1,5,0.219,1.147,-0.875,0.777,1.17,138.4,19,-0.875,0.777,-0.509,0.268,0.575,152.2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,-1.038,1.041,-94.4,17,-0.088,-1.037,0.429,1.634,1.689,75.3,9,0.422,1.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,16,SWE,8,HASSELBORG A,Take-out,Counter-clockwise,100,bottom,3,3,1.172,0.161,1.183,7.8,15,1.179,0.161,0.219,1.147,1.168,79.2,5,0.221,1.147,-0.875,0.777,1.17,138.4,19,-0.875,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.088,-1.037,1.041,-94.8,17,-0.08,-1.038,0.116,-0.023,0.118,-11.2,22,,,0.422,1.634,1.687,75.5,9,0.429,1.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,1,SWE,2,SCHARBACK S,Front,Counter-clockwise,100,top,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,2.244,2.244,89.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,SUI,1,WITSCHONKE S,Front,Counter-clockwise,100,top,1,1,-0.732,1.938,2.071,110.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.243,2.244,89.5,1,0.026,2.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,3,SWE,2,SCHARBACK S,Draw,Counter-clockwise,75,top,1,2,-0.73,1.938,2.071,110.7,2,-0.732,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,0.545,0.557,78.1,3,,,0.026,2.244,2.244,89.3,1,0.018,2.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,4,SUI,1,WITSCHONKE S,Take-out,Counter-clockwise,100,top,2,1,0.5,0.456,0.676,42.3,4,,,-0.732,1.938,2.071,110.7,2,-0.73,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.243,2.244,89.5,1,0.026,2.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
