tournament_name,year,location,gender,result_book_url,result_summary_url
World Junior-B Curling Championships 2024,2024,"Lohja, Finland",w,https://curlit.com/PDF/WJBCC2024_ResultsBook_Women.pdf,https://curlit.com/PDF/WJBCC2024_ResultsSummary_Women.pdf
World Mixed Doubles Qualification Event 2024,2024,"Dumfries, Scotland",mxd,https://curlit.com/PDF/WMDQE2024_ResultsBook.pdf,https://curlit.com/PDF/WMDQE2024_ResultsSummary.pdf
European Curling Championships 2024 A-Division,2024,"Lohja, Finland",m,https://curlit.com/PDF/ECC2024_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2024 A-Division,2024,"Lohja, Finland",w,https://curlit.com/PDF/ECC2024_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Women_A-Division.pdf
European Curling Championships 2024 B-Division,2024,"Östersund, Sweden",m,https://curlit.com/PDF/ECC2024_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Men_B-Division.pdf
European Curling Championships 2024 B-Division,2024,"Östersund, Sweden",w,https://curlit.com/PDF/ECC2024_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Women_B-Division.pdf
World Wheelchair-B Curling Championship 2024,2024,"Lohja, Finland",,https://curlit.com/PDF/WWhBCC2024_ResultsBook.pdf,https://curlit.com/PDF/WWhBCC2024_ResultsSummary.pdf
Pan Continental Curling Championships 2024 A-Division,2024,"Lacombe, AB, Canada",m,https://curlit.com/PDF/PCCC2024_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/PCCC2024_ResultsSummary_Men_A-Division.pdf
Pan Continental Curling Championships 2024 A-Division,2024,"Lacombe, AB, Canada",w,https://curlit.com/PDF/PCCC2024_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/PCCC2024_ResultsSummary_Women_A-Division.pdf
Pan Continental Curling Championships 2024 B-Division,2024,"Lacombe, AB, Canada",m,https://curlit.com/PDF/PCCC2024_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/PCCC2024_ResultsSummary_Men_B-Division.pdf
Pan Continental Curling Championships 2024 B-Division,2024,"Lacombe, AB, Canada",w,https://curlit.com/PDF/PCCC2024_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/PCCC2024_ResultsSummary_Women_B-Division.pdf
World Mixed Curling Championship 2024,2024,"Aberdeen, Scotland",mx,https://curlit.com/PDF/WMxCC2024_ResultsBook.pdf,https://curlit.com/PDF/WMxCC2024_ResultsSummary.pdf
European Curling Championships C-Division 2024,2024,"Dumfries, Scotland",m,https://curlit.com/PDF/ECCC2024_ResultsBook_Men.pdf,https://curlit.com/PDF/ECCC2024_ResultsSummary_Men.pdf
European Curling Championships C-Division 2024,2024,"Dumfries, Scotland",w,https://curlit.com/PDF/ECCC2024_ResultsBook_Women.pdf,https://curlit.com/PDF/ECCC2024_ResultsSummary_Women.pdf
World Mixed Doubles Curling Championship 2024,2024,"Östersund, Sweden",mxd,https://curlit.com/PDF/WMDCC2024_ResultsBook.pdf?V=2,https://curlit.com/PDF/WMDCC2024_ResultsSummary.pdf
World Senior Curling Championships 2024,2024,"Östersund, Sweden",m,https://curlit.com/PDF/WSCC2024_ResultsBook_Men.pdf,https://curlit.com/PDF/WSCC2024_ResultsSummary_Men.pdf
World Senior Curling Championships 2024,2024,"Östersund, Sweden",w,https://curlit.com/PDF/WSCC2024_ResultsBook_Women.pdf,https://curlit.com/PDF/WSCC2024_ResultsSummary_Women.pdf
World Men's Curling Championship 2024,2024,"Schaffhausen, Switzerland",m,https://curlit.com/PDF/WMCC2024_ResultsBook.pdf,https://curlit.com/PDF/WMCC2024_ResultsSummary.pdf
World Women's Curling Championship 2024,2024,"Sydney, NS, Canada",w,https://curlit.com/PDF/WWCC2024_ResultsBook.pdf,https://curlit.com/PDF/WWCC2024_ResultsSummary.pdf
World Wheelchair Mixed Doubles Championship 2024,2024,"Gangneung, Korea",mxd,https://curlit.com/PDF/WWhMDCC2024_ResultsBook.pdf,https://curlit.com/PDF/WWhMDCC2024_ResultsSummary.pdf
World Wheelchair Championship 2024,2024,"Gangneung, Korea",,https://curlit.com/PDF/WWhCC2024_ResultsBook.pdf?V=2,https://curlit.com/PDF/WWhCC2024_ResultsSummary.pdf?V=2
World Junior Curling Championships 2024,2024,"Lohja, Finland",m,https://curlit.com/PDF/WJCC2024_ResultsBook_Men.pdf,https://curlit.com/PDF/WJCC2024_ResultsSummary_Men.pdf
World Junior Curling Championships 2024,2024,"Lohja, Finland",w,https://curlit.com/PDF/WJCC2024_ResultsBook_Women.pdf,https://curlit.com/PDF/WJCC2024_ResultsSummary_Women.pdf
Winter Youth Olympic Games 2024,2024,"Gangneung, Korea",,https://curlit.com/PDF/YOG2024_Resultsbook.pdf,
World Junior-B Curling Championships 2023,2023,"Lohja, Finland",m,https://curlit.com/PDF/WJBCC2023_ResultsBook_Men.pdf,https://curlit.com/PDF/WJBCC2023_ResultsSummary_Men.pdf
World Junior-B Curling Championships 2023,2023,"Lohja, Finland",w,https://curlit.com/PDF/WJBCC2023_ResultsBook_Women.pdf,https://curlit.com/PDF/WJBCC2023_ResultsSummary_Women.pdf
World Mixed Doubles Qualification Event 2023,2023,"Dumfries, Scotland",mxd,https://curlit.com/PDF/WMDQE2023_ResultsBook.pdf,https://curlit.com/PDF/WMDQE2023_ResultsSummary.pdf
European Curling Championships 2023 A-Division,2023,"Aberdeen, Scotland",m,https://curlit.com/PDF/ECC2023_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2023_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2023 A-Division,2023,"Aberdeen, Scotland",w,https://curlit.com/PDF/ECC2023_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2023_ResultsSummary_Women_A-Division.pdf
European Curling Championships 2023 B-Division,2023,"Perth, Scotland",m,https://curlit.com/PDF/ECC2023_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/ECC2023_ResultsSummary_Men_B-Division.pdf
European Curling Championships 2023 B-Division,2023,"Perth, Scotland",w,https://curlit.com/PDF/ECC2023_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/ECC2023_ResultsSummary_Women_B-Division.pdf
World Wheelchair-B Curling Championship 2023,2023,"Lohja, Finland",,https://curlit.com/PDF/WWhBCC2023_ResultsBook.pdf,https://curlit.com/PDF/WWhBCC2023_ResultsSummary.pdf
Pan Continental Curling Championships 2023 A-Division,2023,"Kelowna, BC, Canada",m,https://curlit.com/PDF/PCCC2023_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/PCCC2023_ResultsSummary_Men_A-Division.pdf
Pan Continental Curling Championships 2023 A-Division,2023,"Kelowna, BC, Canada",w,https://curlit.com/PDF/PCCC2023_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/PCCC2023_ResultsSummary_Women_A-Division.pdf
Pan Continental Curling Championships 2023 B-Division,2023,"Kelowna, BC, Canada",m,https://curlit.com/PDF/PCCC2023_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/PCCC2023_ResultsSummary_Men_B-Division.pdf
Pan Continental Curling Championships 2023 B-Division,2023,"Kelowna, BC, Canada",w,https://curlit.com/PDF/PCCC2023_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/PCCC2023_ResultsSummary_Women_B-Division.pdf
World Mixed Curling Championship 2023,2023,"Aberdeen, Scotland",mx,https://curlit.com/PDF/WMxCC2023_ResultsBook.pdf,https://curlit.com/PDF/WMxCC2023_ResultsSummary.pdf
European Curling Championships C-Division 2023,2023,"Dumfries, Scotland",m,https://curlit.com/PDF/ECCC2023_ResultsBook_Men.pdf,https://curlit.com/PDF/ECCC2023_ResultsSummary_Men.pdf
European Curling Championships C-Division 2023,2023,"Dumfries, Scotland",w,https://curlit.com/PDF/ECCC2023_ResultsBook_Women.pdf,https://curlit.com/PDF/ECCC2023_ResultsSummary_Women.pdf
World Mixed Doubles Curling Championship 2023,2023,"Gangneung, Korea",mxd,https://curlit.com/PDF/WMDCC2023_ResultsBook.pdf,https://curlit.com/PDF/WMDCC2023_ResultsSummary.pdf
World Senior Curling Championships 2023,2023,"Gangneung, Korea",m,https://curlit.com/PDF/WSCC2023_ResultsBook_Men.pdf,https://curlit.com/PDF/WSCC2023_ResultsSummary_Men.pdf
World Senior Curling Championships 2023,2023,"Gangneung, Korea",w,https://curlit.com/PDF/WSCC2023_ResultsBook_Women.pdf,https://curlit.com/PDF/WSCC2023_ResultsSummary_Women.pdf
World Men's Curling Championship 2023,2023,"Ottawa, ON, Canada",m,https://curlit.com/PDF/WMCC2023_ResultsBook.pdf,https://curlit.com/PDF/WMCC2023_ResultsSummary.pdf
World Women's Curling Championships 2023,2023,"Sandviken, Sweden",w,https://curlit.com/PDF/WWCC2023_ResultsBook.pdf,https://curlit.com/PDF/WWCC2023_ResultsSummary.pdf
World Wheelchair Curling Championships 2023,2023,"Richmond, BC, Canada",,https://curlit.com/PDF/WWhCC2023_ResultsBook.pdf,https://curlit.com/PDF/WWhCC2023_ResultsSummary.pdf
World Wheelchair Mixed Doubles Curling Championships 2023,2023,"Richmond, BC, Canada",mxd,https://curlit.com/PDF/WWhMDCC2023_ResultsBook.pdf,https://curlit.com/PDF/WWhMDCC2023_ResultsSummary.pdf
World Junior Curling Championships 2023,2023,"Füssen, Germany",m,https://curlit.com/PDF/WJCC2023_ResultsBook_Men.pdf,https://curlit.com/PDF/WJCC2023_ResultsSummary_Men.pdf
World Junior Curling Championships 2023,2023,"Füssen, Germany",w,https://curlit.com/PDF/WJCC2023_ResultsBook_Women.pdf,https://curlit.com/PDF/WJCC2023_ResultsSummary_Women.pdf
World Junior-B Curling Championships 2022-2023,2022,"Lohja, Finland",m,https://curlit.com/PDF/WJBCC2022-23_ResultsBook_Men.pdf,https://curlit.com/PDF/WJBCC2022-23_ResultsSummary_Men.pdf
World Junior-B Curling Championships 2022-2023,2022,"Lohja, Finland",w,https://curlit.com/PDF/WJBCC2022-23_ResultsBook_Women.pdf,https://curlit.com/PDF/WJBCC2022-23_ResultsSummary_Women.pdf
World Mixed Doubles Qualification Event 2022,2022,"Dumfries, Scotland",mxd,https://curlit.com/PDF/WMDQE2022_ResultsBook.pdf,https://curlit.com/PDF/WMDQE2022_ResultsSummary.pdf
European Curling Championships 2022 A-Division,2022,"Östersund, Sweden",m,https://curlit.com/PDF/ECC2022_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2022_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2022 A-Division,2022,"Östersund, Sweden",w,https://curlit.com/PDF/ECC2022_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2022_ResultsSummary_Women_A-Division.pdf
European Curling Championships 2022 B-Division,2022,"Östersund, Sweden",m,https://curlit.com/PDF/ECC2022_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/ECC2022_ResultsSummary_Men_B-Division.pdf
European Curling Championships 2022 B-Division,2022,"Östersund, Sweden",w,https://curlit.com/PDF/ECC2022_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/ECC2022_ResultsSummary_Women_B-Division.pdf
World Wheelchair-B Curling Championship 2022,2022,"Lohja, Finland",,https://curlit.com/PDF/WWhBCC2022_ResultsBook.pdf,https://curlit.com/PDF/WWhBCC2022_ResultsSummary.pdf
Pan Continental Curling Championships 2022 A-Division,2022,"Calgary, AB, Canada",m,https://curlit.com/PDF/PCCC2022_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/PCCC2022_ResultsSummary_Men_A-Division.pdf
Pan Continental Curling Championships 2022 A-Division,2022,"Calgary, AB, Canada",w,https://curlit.com/PDF/PCCC2022_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/PCCC2022_ResultsSummary_Women_A-Division.pdf
Pan Continental Curling Championships 2022 B-Division,2022,"Calgary, AB, Canada",m,https://curlit.com/PDF/PCCC2022_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/PCCC2022_ResultsSummary_Men_B-Division.pdf
Pan Continental Curling Championships 2022 B-Division,2022,"Calgary, AB, Canada",w,https://curlit.com/PDF/PCCC2022_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/PCCC2022_ResultsSummary_Women_B-Division.pdf
World Mixed Curling Championship 2022,2022,"Aberdeen, Scotland",mx,https://curlit.com/PDF/WMxCC2022_ResultsBook.pdf,https://curlit.com/PDF/WMxCC2022_ResultsSummary.pdf
World Junior Curling Championships 2022,2022,"Jönköping, Sweden",m,https://curlit.com/PDF/WJCC2022_ResultsBook_Men.pdf,https://curlit.com/PDF/WJCC2022_ResultsSummary_Men.pdf
World Junior Curling Championships 2022,2022,"Jönköping, Sweden",w,https://curlit.com/PDF/WJCC2022_ResultsBook_Women.pdf,https://curlit.com/PDF/WJCC2022_ResultsSummary_Women.pdf
European Curling Championships C-Division 2022,2022,"Kaunas, Lithuania",m,https://curlit.com/PDF/ECCC2022_ResultsBook_Men.pdf,https://curlit.com/PDF/ECCC2022_ResultsSummary_Men.pdf
European Curling Championships C-Division 2022,2022,"Kaunas, Lithuania",w,https://curlit.com/PDF/ECCC2022_ResultsBook_Women.pdf,https://curlit.com/PDF/ECCC2022_ResultsSummary_Women.pdf
World Wheelchair Mixed Doubles Curling Championship 2022,2022,"Lohja, Finland",mxd,https://curlit.com/PDF/WWhMDCC2022_ResultsBook.pdf,https://curlit.com/PDF/WWhMDCC2022_ResultsSummary.pdf
World Mixed Doubles Curling Championship 2022,2022,"Geneva, Switzerland",mxd,https://curlit.com/PDF/WMDCC2022_ResultsBook.pdf,https://curlit.com/PDF/WMDCC2022_ResultsSummary.pdf
World Senior Curling Championships 2022,2022,"Geneva, Switzerland",m,https://curlit.com/PDF/WSCC2022_ResultsBook_Men.pdf,https://curlit.com/PDF/WSCC2022_ResultsSummary_Men.pdf
World Senior Curling Championships 2022,2022,"Geneva, Switzerland",w,https://curlit.com/PDF/WSCC2022_ResultsBook_Women.pdf,https://curlit.com/PDF/WSCC2022_ResultsSummary_Women.pdf
World Men's Curling Championship 2022,2022,"Las Vegas, NV, USA",m,https://curlit.com/PDF/WMCC2022_ResultsBook.pdf,https://curlit.com/PDF/WMCC2022_ResultsSummary.pdf
World Women's Curling Championship 2022,2022,"Prince George, BC, Canada",w,https://curlit.com/PDF/WWCC2022_ResultsBook.pdf,https://curlit.com/PDF/WWCC2022_ResultsSummary.pdf
Paralympic Winter Games 2022,2022,"Beijing, China",,https://curlit.com/PDF/PWG2022_ResultsBook.pdf,
Olympic Winter Games 2022,2022,"Beijing, China",,https://curlit.com/PDF/OWG2022_ResultsBook.pdf,
World Qualification Event 2022,2022,"Lohja, Finland",m,https://curlit.com/PDF/WQE2022_ResultsBook_Men.pdf,https://curlit.com/PDF/WQE2022_ResultsSummary_Men.pdf
World Qualification Event 2022,2022,"Lohja, Finland",w,https://curlit.com/PDF/WQE2022_ResultsBook_Women.pdf,https://curlit.com/PDF/WQE2022_ResultsSummary_Women.pdf
Olympic Qualification Event 2021,2021,"Leeuwarden, Netherlands",mxd,https://curlit.com/PDF/OQE2021_ResultsBook_MixedDoubles.pdf,https://curlit.com/PDF/OQE2021_ResultsSummary_MixedDoubles.pdf
Olympic Qualification Event 2021,2021,"Leeuwarden, Netherlands",m,https://curlit.com/PDF/OQE2021_ResultsBook_Men.pdf,https://curlit.com/PDF/OQE2021_ResultsSummary_Men.pdf
Olympic Qualification Event 2021,2021,"Leeuwarden, Netherlands",w,https://curlit.com/PDF/OQE2021_ResultsBook_Women.pdf,https://curlit.com/PDF/OQE2021_ResultsSummary_Women.pdf
European Curling Championships 2021 A-Division,2021,"Lillehammer, Norway",m,https://curlit.com/PDF/ECC2021_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2021_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2021 A-Division,2021,"Lillehammer, Norway",w,https://curlit.com/PDF/ECC2021_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2021_ResultsSummary_Women_A-Division.pdf
European Curling Championships 2021 B-Division,2021,"Lillehammer, Norway",m,https://curlit.com/PDF/ECC2021_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/ECC2021_ResultsSummary_Men_B-Division.pdf
European Curling Championships 2021 B-Division,2021,"Lillehammer, Norway",w,https://curlit.com/PDF/ECC2021_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/ECC2021_ResultsSummary_Women_B-Division.pdf
Pacific-Asia Curling Championships 2021,2021,"Almaty, Kazakhstan",m,https://curlit.com/PDF/PACC2021_ResultsBook_Men.pdf,https://curlit.com/PDF/PACC2021_ResultsSummary_Men.pdf
Pacific-Asia Curling Championships 2021,2021,"Almaty, Kazakhstan",w,https://curlit.com/PDF/PACC2021_ResultsBook_Women.pdf,https://curlit.com/PDF/PACC2021_ResultsSummary_Women.pdf
World Wheelchair Curling Championship 2021,2021,"Beijing, China",,https://curlit.com/PDF/WWhCC2021_ResultsBook.pdf,https://curlit.com/PDF/WWhCC2021_ResultsSummary.pdf
Pre-Olympic Qualification Event 2021,2021,"Erzurum, Turkey",mxd,https://curlit.com/PDF/PRE-OQE2021_ResultsBook_MixedDoubles.pdf,https://curlit.com/PDF/PRE-OQE2021_ResultsSummary_MixedDoubles.pdf
