event_id,match_id,end_number,team1_code,team2_code,team1_score_before,team2_score_before,team1_score_this_end,team2_score_this_end,team1_score_after,team2_score_after,hammer_team_code,team1_time_left,team2_time_left
1,1,1,SUI,SWE,0,0,0,2,0,2,SWE,34:25,33:00
1,1,2,SUI,SWE,0,2,0,0,0,2,SUI,31:34,30:02
1,1,3,SUI,SWE,0,2,0,0,0,2,SUI,28:32,27:20
1,1,4,SUI,SWE,0,2,1,0,1,2,SUI,22:23,21:52
1,1,5,SUI,SWE,1,2,0,1,1,3,SWE,18:05,17:21
1,1,6,SUI,SWE,1,3,2,0,3,3,SUI,14:03,14:14
1,1,7,SUI,SWE,3,3,0,1,3,4,SWE,11:15,11:30
1,1,8,SUI,SWE,3,4,0,1,3,5,SUI,8:05,9:19
1,1,9,SUI,SWE,3,5,2,0,5,5,SUI,4:24,4:51
1,1,10,SUI,SWE,5,5,0,1,5,6,SWE,1:39,1:58
1,2,1,CAN,USA,0,0,0,1,0,1,USA,35:06,34:56
1,2,2,CAN,USA,0,1,1,0,1,1,CAN,32:22,31:21
1,2,3,CAN,USA,1,1,0,1,1,2,USA,29:59,27:20
1,2,4,CAN,USA,1,2,1,0,2,2,CAN,24:34,22:14
1,2,5,CAN,USA,2,2,0,1,2,3,USA,22:07,18:09
1,2,6,CAN,USA,2,3,3,0,5,3,CAN,18:28,15:25
1,2,7,CAN,USA,5,3,0,2,5,5,USA,15:00,11:33
1,2,8,CAN,USA,5,5,3,0,8,5,CAN,9:01,7:10
1,2,9,CAN,USA,8,5,0,2,8,7,USA,3:23,2:21
1,2,10,CAN,USA,8,7,2,0,10,7,,1:14,0:33
1,3,1,CAN,SWE,0,0,0,1,0,1,SWE,33:26,33:32
1,3,2,CAN,SWE,0,1,1,0,1,1,CAN,29:06,29:52
1,3,3,CAN,SWE,1,1,0,1,1,2,SWE,25:47,26:55
1,3,4,CAN,SWE,1,2,1,0,2,2,CAN,21:43,23:10
1,3,5,CAN,SWE,2,2,0,0,2,2,SWE,19:53,19:27
1,3,6,CAN,SWE,2,2,0,2,2,4,SWE,12:08,13:59
1,3,7,CAN,SWE,2,4,0,1,2,5,CAN,7:40,8:45
1,3,8,CAN,SWE,2,5,1,0,3,5,CAN,4:02,5:20
1,3,9,CAN,SWE,3,5,0,1,3,6,SWE,2:54,2:46
1,3,10,CAN,SWE,3,6,X,X,3,6,,1:20,0:30
1,4,1,USA,SUI,0,0,1,0,1,0,USA,34:58,34:45
1,4,2,USA,SUI,1,0,0,2,1,2,SUI,32:53,32:10
1,4,3,USA,SUI,1,2,1,0,2,2,USA,30:39,30:33
1,4,4,USA,SUI,2,2,0,2,2,4,SUI,27:18,26:21
